name,aliases,kcal,protein,fat,carbs,weight_g,emoji,advice,source,confidence,trust_score
арахис в шоколаде,шоколадный арахис|арахис глазированный,520,14,32,45,100,🥜,Очень калорийный сладкий перекус.,seed,0.76,0.8
молочный шоколад с начинкой,шоколад с молочной начинкой|вабуфокс шоколад|молочный шоколад вабуфокс,160,2.2,9,17,30,🍫,Для брендов лучше сверить этикетку.,seed,0.72,0.76
стрипсы куриные,куриные стрипсы generic|стрипсы,285,21,15,17,100,🍗,Если бренд неизвестен это средняя оценка.,seed,0.78,0.82
мясо по французски,мясо под сыром|свинина по французски,260,14,19,7,100,🥩,Майонез и сыр сильно повышают калорийность.,seed,0.78,0.82
котлета по киевски,киевская котлета,310,16,22,12,100,🍗,Масло внутри дает много калорий.,seed,0.78,0.82
тефтели,тефтели мясные|мясные тефтели,210,12,12,13,100,🍽️,Соус и гарнир учитывай отдельно.,seed,0.78,0.82
голубцы,голубцы с мясом|ленивые голубцы,135,7,7,11,100,🥬,Сметану учитывай отдельно.,seed,0.78,0.82
долма,долма с мясом,190,8,13,12,100,🍃,Соус учитывай отдельно.,seed,0.76,0.8
жульен с курицей и грибами,жульен|куриный жульен,180,12,13,5,100,🍄,Сливки и сыр дают основную калорийность.,seed,0.76,0.8
селедка под шубой,шуба|салат шуба,195,7,15,9,100,🥗,Майонез делает салат калорийным.,seed,0.78,0.82
мимоза салат,салат мимоза,210,9,17,8,100,🥗,Майонез и сыр сильно влияют на итог.,seed,0.76,0.8
крабовый салат,салат крабовый,180,6,12,13,100,🥗,Майонез учитывай особенно внимательно.,seed,0.78,0.82
морковь по корейски,корейская морковь,137,1.2,9,12,100,🥕,Масло дает основную часть калорий.,seed,0.78,0.82
фунчоза с овощами,фунчоза|стеклянная лапша,160,2,6,25,100,🍜,Соус и масло меняют итог.,seed,0.76,0.8
рамен,лапша рамен|рамен суп,95,4,4,11,100,🍜,Порция обычно 400-600 г.,seed,0.76,0.8
том ям,суп том ям|том-ям,85,5,5,6,100,🍲,Кокосовое молоко и рис учитывай отдельно.,seed,0.76,0.8
мисо суп,суп мисо,40,3,1.5,4,100,🍲,Легкий суп без риса.,seed,0.76,0.8
лапша удон с курицей,удон с курицей|лапша с курицей,170,9,6,21,100,🍜,Соус и масло могут сильно менять калории.,seed,0.76,0.8
лапша вок с курицей,вок с курицей|wok chicken noodles,190,10,7,23,100,🍜,Ориентир на 100 г готового блюда.,seed,0.76,0.8
рис вок с курицей,вок рис курица|рис с курицей wok,180,9,6,23,100,🍚,Соусы добавляют сахар и соль.,seed,0.76,0.8
поке с лососем,поке лосось|poke salmon,170,9,8,16,100,🍣,Соус и авокадо сильно влияют на итог.,seed,0.76,0.8
поке с курицей,поке курица,155,10,6,15,100,🍱,Ориентир на 100 г боула.,seed,0.76,0.8
салат боул с курицей,боул с курицей|боул курица,145,12,6,11,100,🥗,Соус лучше учитывать отдельно.,seed,0.76,0.8
цезарь ролл с курицей,ролл цезарь курица|цезарь ролл куриный,230,11,12,20,100,🌯,Если это брендовый ролл проверь порцию.,seed,0.76,0.8
сэндвич с курицей,куриный сэндвич|бутерброд с курицей,240,13,9,27,100,🥪,Соусы и сыр повышают калории.,seed,0.78,0.82
сэндвич с ветчиной и сыром,бутерброд ветчина сыр|тост ветчина сыр,260,14,12,24,100,🥪,Ориентир на 100 г.,seed,0.78,0.82
тост с авокадо,авокадо тост|тост авокадо,220,6,13,20,100,🥑,Яйцо или лосось учитывай отдельно.,seed,0.76,0.8
круассан с ветчиной и сыром,круассан ветчина сыр,360,13,22,28,100,🥐,Начинка и масло дают высокую калорийность.,seed,0.76,0.8
круассан миндальный,миндальный круассан,450,9,28,42,100,🥐,Сладкая начинка очень калорийна.,seed,0.76,0.8
булочка с корицей,синнабон|cinnamon roll|булка с корицей,380,6,14,58,100,🥯,Глазурь добавляет много сахара.,seed,0.76,0.8
ватрушка с творогом,ватрушка,290,9,10,42,100,🥯,Ориентир на 100 г.,seed,0.78,0.82
сочень с творогом,сочник|сочни с творогом,330,10,14,42,100,🥟,Одна штука часто 70-100 г.,seed,0.76,0.8
сырок глазированный,глазированный сырок|творожный сырок,200,7,12,18,45,🍫,Один сырок обычно 40-50 г.,seed,0.8,0.84
йогурт питьевой,питьевой йогурт|йогурт питьевой сладкий,155,5,4,25,250,🥛,Сахар отличается по брендам.,seed,0.78,0.82
ряженка 2.5%,ряженка|ряженка 2 5,54,3,2.5,4.2,100,🥛,Стакан обычно 200-250 мл.,seed,0.84,0.86
айран,тан|айран напиток,35,2,1.5,3,100,🥛,Освежающий кисломолочный напиток.,seed,0.78,0.82
сыр фета,фета|сыр брынза,265,14,21,4,100,🧀,Соленый сыр удобно считать по весу.,seed,0.78,0.82
сыр сулугуни,сулугуни,290,20,22,1,100,🧀,Жирность зависит от производителя.,seed,0.78,0.82
колбаса вареная,докторская колбаса|варенка,250,13,22,1.5,100,🥓,Проверь бренд и жирность.,seed,0.78,0.82
колбаса копченая,сервелат|копченая колбаса,460,18,42,1,100,🥓,Очень калорийный продукт на небольшой вес.,seed,0.78,0.82
бекон жареный,бекон,540,37,42,1.5,100,🥓,Порция обычно 20-40 г.,seed,0.78,0.82
ветчина,ham|ветчина свиная,145,16,8,2,100,🥓,Жирность зависит от бренда.,seed,0.78,0.82
сосиски в тесте,сосиска в тесте,310,9,17,30,100,🌭,Одна штука часто 90-120 г.,seed,0.78,0.82
наггетсы мираторг,мираторг наггетсы|наггетсы замороженные,250,14,13,19,100,🍗,Проверь способ приготовления.,seed,0.74,0.78
котлеты мираторг,мираторг котлеты|котлета замороженная,260,15,19,8,100,🍽️,Жарка добавляет масло.,seed,0.74,0.78
пицца замороженная,замороженная пицца,260,10,10,32,100,🍕,Смотри этикетку конкретного бренда.,seed,0.74,0.78
блинчики с мясом,блины с мясом|фаршированные блины мясо,230,10,12,22,100,🥞,Сметану и масло учитывай отдельно.,seed,0.78,0.82
блинчики с творогом,блины с творогом,210,10,8,25,100,🥞,Сахар и сметану учитывай отдельно.,seed,0.78,0.82
блинчики с яблоком,блины с яблоком|блинчики яблочные,190,5,6,30,100,🥞,Сладкая начинка добавляет углеводы.,seed,0.76,0.8
паста карбонара,карбонара|спагетти карбонара,230,10,13,20,100,🍝,Сливки бекон и сыр делают блюдо калорийным.,seed,0.78,0.82
паста с курицей и грибами,паста курица грибы,180,11,8,17,100,🍝,Сливочный соус повышает калории.,seed,0.76,0.8
паста томатная с курицей,паста с курицей томатная,155,10,5,18,100,🍝,Ориентир на 100 г.,seed,0.76,0.8
соба с курицей,гречневая лапша с курицей,165,11,5,20,100,🍜,Соус терияки добавляет сахар.,seed,0.76,0.8
гедза,гёдза|японские пельмени,230,9,10,27,100,🥟,Соус учитывай отдельно.,seed,0.74,0.78
онигири с лососем,онигири|рисовый треугольник,190,6,4,32,100,🍙,Начинка влияет на итог.,seed,0.74,0.78
ролл запеченный,запеченные роллы,240,9,11,27,100,🍣,Майонезный соус часто калорийный.,seed,0.76,0.8
ролл темпура,темпура ролл|жареный ролл,280,9,15,28,100,🍣,Жарка увеличивает жиры.,seed,0.76,0.8
суши с лососем,нигири лосось|суши лосось,55,3,1.5,8,35,🍣,Одна штука обычно 30-40 г.,seed,0.78,0.82
онион рингс,луковые кольца,350,5,18,43,100,🧅,Жареная закуска с маслом.,seed,0.76,0.8
сырный соус,соус сырный,130,1,12,4,25,🥫,Маленький соус сильно добавляет калории.,seed,0.78,0.82
кетчуп,томатный кетчуп,28,0.3,0,6.5,25,🥫,Порционный пакет обычно 25 г.,seed,0.82,0.84
майонез,соус майонез,170,0.3,18.5,0.7,25,🥫,Одна столовая ложка около 20-25 г.,seed,0.84,0.86
соус барбекю,барбекю соус|bbq sauce,45,0.2,0.2,10,25,🥫,Сладкий соус добавляет сахар.,seed,0.78,0.82
соус чесночный,чесночный соус,120,1,12,2,25,🥫,Обычно на основе майонеза.,seed,0.76,0.8
энергетик,энергетический напиток|energy drink,112,0,0,27,250,🥤,Сахарный энергетик почти как газировка.,seed,0.78,0.82
энергетик без сахара,zero energy|энергетик zero,10,0,0,1,250,🥤,Калорий почти нет но есть кофеин.,seed,0.78,0.82
компот,компот домашний,90,0,0,22,250,🧃,Сахар зависит от рецепта.,seed,0.78,0.82
морс,клюквенный морс|ягодный морс,110,0.2,0,27,250,🧃,Сахар сильно меняет калорийность.,seed,0.78,0.82
квас,квас хлебный,95,0.5,0,23,250,🥤,Сладость зависит от бренда.,seed,0.78,0.82
смузи фруктовый,фруктовый смузи,180,2,1,40,300,🥤,Фруктовые напитки легко набирают калории.,seed,0.76,0.8
милкшейк,молочный коктейль|milkshake,260,8,8,40,300,🥤,Сироп и мороженое дают много сахара.,seed,0.78,0.82
раф кофе,раф|кофе раф,260,7,12,30,300,☕,Сливки и сироп делают напиток калорийным.,seed,0.78,0.82
флэт уайт,flat white|кофе флэт уайт,90,5,4,8,200,☕,Без сахара и сиропов.,seed,0.78,0.82
матча латте,matcha latte|матча,160,7,6,22,300,🍵,Сироп и молоко сильно влияют на итог.,seed,0.76,0.8
бабл ти,баблти|bubble tea|чай с тапиокой,360,5,8,68,500,🧋,Тапиока и сироп дают много сахара.,seed,0.74,0.78
попкорн соленый,соленый попкорн,380,10,15,50,100,🍿,Кино-порция может быть очень большой.,seed,0.76,0.8
чипсы картофельные,чипсы,520,6,32,52,100,🥔,Пачка часто 70-150 г.,seed,0.78,0.82
сухарики,сухарики ржаные|кириешки,400,10,14,60,100,🍞,Соленый снек с высокой плотностью калорий.,seed,0.76,0.8
крекеры,крекер соленый,430,9,14,67,100,🍪,Порция быстро набирается незаметно.,seed,0.76,0.8
мармелад,жевательный мармелад,330,5,0,78,100,🍬,Почти полностью сахар.,seed,0.76,0.8
зефир,зефир ванильный,320,1,0,80,100,🍬,Одна штука часто 30-40 г.,seed,0.78,0.82
пастила,пастила яблочная,320,1,0,80,100,🍬,Сладость с высокой долей сахара.,seed,0.78,0.82
вкусно и точка двойной чизбургер,двойной чизбургер вкусно и точка|double cheeseburger,445,25,23,34,170,🍔,Ориентир на один бургер без комбо.,seed,0.78,0.82
вкусно и точка роял,роял вкусно и точка|royal burger,505,28,27,40,205,🍔,Соус и сыр дают заметную часть калорий.,seed,0.76,0.8
вкусно и точка гранд де люкс,гранд де люкс|grand deluxe,585,30,34,43,235,🍔,Ориентир на одну порцию.,seed,0.76,0.8
вкусно и точка чикен премьер,чикен премьер|куриный премьер,520,26,27,45,220,🍔,Панировка и соус повышают жиры.,seed,0.76,0.8
вкусно и точка креветки,креветки вкусно и точка|shrimp вкусно и точка,190,12,10,14,80,🍤,Соус учитывай отдельно.,seed,0.74,0.78
вкусно и точка макфлурри,макфлурри|мороженое с топпингом,330,7,10,53,180,🍦,Топпинг дает много сахара.,seed,0.76,0.8
вкусно и точка капучино,капучино вкусно и точка,120,6,5,12,300,☕,Без сахара и сиропа.,seed,0.76,0.8
вкусно и точка латте,латте вкусно и точка,150,8,6,15,300,☕,Сироп добавляй отдельно.,seed,0.76,0.8
ростикс твистер сырный,сырный твистер ростикс|kfc сырный твистер,620,28,35,50,260,🌯,Соус и сыр делают порцию калорийнее.,seed,0.76,0.8
ростикс твистер острый,острый твистер ростикс|kfc острый твистер,590,27,32,48,255,🌯,Ориентир на одну порцию.,seed,0.76,0.8
ростикс шефбургер острый,острый шефбургер ростикс|kfc spicy chefburger,500,25,26,43,215,🍔,Панировка и соус повышают калории.,seed,0.76,0.8
ростикс сандерс баскет,сандерс баскет|kfc basket,850,45,50,55,330,🍗,Большую корзину лучше делить по весу.,seed,0.72,0.76
ростикс картофель фри малый,малый фри ростикс|kfc фри малый,230,3,11,30,80,🍟,Соусы учитывай отдельно.,seed,0.78,0.82
ростикс картофель фри большой,большой фри ростикс|kfc фри большой,430,5,21,55,150,🍟,Ориентир на большую порцию.,seed,0.78,0.82
ростикс мороженое рожок,рожок ростикс|kfc рожок,170,4,5,28,85,🍦,Топпинг учитывай отдельно.,seed,0.76,0.8
бургер кинг воппер с сыром,воппер сырный|whopper cheese,680,33,40,49,285,🍔,Сыр добавляет жиры и калории.,seed,0.76,0.8
бургер кинг стейкхаус,стейкхаус бургер кинг|steakhouse bk,820,42,48,55,330,🍔,Большой бургер лучше считать отдельной порцией.,seed,0.74,0.78
бургер кинг лонг чикен,лонг чикен|long chicken,610,25,34,52,240,🍔,Соус и панировка дают основную калорийность.,seed,0.76,0.8
бургер кинг чикен фри,чикен фри bk|куриные палочки bk,290,17,18,16,100,🍗,Соус добавляй отдельно.,seed,0.76,0.8
бургер кинг сырные медальоны,сырные медальоны bk|cheese medallions,360,13,22,28,100,🧀,Жареный сыр очень плотный по калориям.,seed,0.74,0.78
бургер кинг молочный коктейль,шейк бургер кинг|milkshake bk,320,8,9,52,300,🥤,Сироп повышает сахар.,seed,0.74,0.78
додо пицца ветчина и сыр,ветчина сыр додо|dodo ham cheese,250,12,10,29,100,🍕,Ориентир на 100 г пиццы.,seed,0.78,0.82
додо пицца сырный цыпленок,сырный цыпленок додо,275,13,13,30,100,🍕,Сырный соус повышает жиры.,seed,0.76,0.8
додо пицца диабло,диабло додо|острая пицца додо,290,13,14,29,100,🍕,Ориентир на 100 г пиццы.,seed,0.76,0.8
додо пицца гавайская,гавайская додо|dodo hawaiian,245,11,9,31,100,🍕,Ананас добавляет углеводы.,seed,0.76,0.8
додо пицца овощи и грибы,овощи грибы додо|вегетарианская додо,215,8,7,31,100,🍕,Обычно легче мясных пицц.,seed,0.76,0.8
додо паста альфредо,альфредо додо|паста додо,620,26,32,58,300,🍝,Сливочный соус сильно влияет на калории.,seed,0.74,0.78
додо куриные кусочки,куриные кусочки додо|dodo chicken bites,310,20,18,17,100,🍗,Соус учитывай отдельно.,seed,0.74,0.78
папа джонс пепперони,пепперони папа джонс|papa johns pepperoni,300,12,14,31,100,🍕,Ориентир на 100 г пиццы.,seed,0.74,0.78
папа джонс чизбургер пицца,чизбургер пицца папа джонс,285,13,13,29,100,🍕,Соусы повышают калорийность.,seed,0.72,0.76
домино пицца пепперони,пепперони домино|dominos pepperoni,290,12,13,31,100,🍕,Ориентир на 100 г пиццы.,seed,0.72,0.76
домино пицца четыре сыра,четыре сыра домино|4 сыра домино,305,13,16,28,100,🍕,Сырные пиццы жирнее.,seed,0.72,0.76
теремок блин с семгой,блин семга теремок|блин с лососем,610,24,32,58,230,🥞,Сливочный сыр и рыба дают калории.,seed,0.76,0.8
теремок блин цезарь,блин цезарь теремок|цезарь блин,640,26,34,58,250,🥞,Соус цезарь лучше учитывать внимательно.,seed,0.76,0.8
теремок окрошка,окрошка теремок|окрошка на квасе,210,9,10,20,300,🥣,Сметана и колбаса меняют итог.,seed,0.74,0.78
теремок борщ,борщ теремок,240,10,12,24,300,🍲,Сметану учитывай отдельно.,seed,0.74,0.78
крошка картошка с беконом,картошка бекон крошка картошка,620,20,34,58,350,🥔,Бекон и сыр повышают жиры.,seed,0.74,0.78
крошка картошка с грибами,картошка грибы крошка картошка,500,13,23,60,330,🥔,Наполнитель и масло дают основную калорийность.,seed,0.74,0.78
крошка картошка с селедкой,картошка селедка крошка картошка,540,18,26,58,340,🥔,Соленую рыбу удобно считать отдельной порцией.,seed,0.72,0.76
стардог хот дог классический,стардог классик|hot dog stardogs,360,13,20,31,150,🌭,Соусы и булка дают много калорий.,seed,0.74,0.78
стардог хот дог французский,французский хот дог|french hot dog,330,12,18,30,140,🌭,Ориентир на одну штуку.,seed,0.74,0.78
стардог хот дог датский,датский хот дог|danish hot dog,430,15,24,38,180,🌭,Жареный лук и соусы повышают калории.,seed,0.72,0.76
сабвей сэндвич бмт,subway bmt|сабвей бмт,470,22,18,55,240,🥪,Соус и сыр добавляй отдельно если менял состав.,seed,0.72,0.76
сабвей сэндвич курица бекон,subway chicken bacon|сабвей курица бекон,520,30,20,56,260,🥪,Бекон и соус повышают жиры.,seed,0.72,0.76
сабвей печенье шоколадное,subway cookie|печенье сабвей,220,3,10,30,45,🍪,Одна штука около 45 г.,seed,0.74,0.78
cofix капучино,капучино cofix|кофикс капучино,120,6,5,12,300,☕,Сахар и сироп учитывай отдельно.,seed,0.74,0.78
cofix латте,латте cofix|кофикс латте,160,8,6,16,300,☕,Без сиропа и сахара.,seed,0.74,0.78
cofix сэндвич ветчина сыр,сэндвич cofix|кофикс сэндвич,360,18,16,34,160,🥪,Соус и сыр повышают калории.,seed,0.72,0.76
шоколадница латте,латте шоколадница,170,8,7,16,300,☕,Сироп и сахар добавляй отдельно.,seed,0.72,0.76
шоколадница капучино,капучино шоколадница,130,7,5,12,300,☕,Ориентир без сахара.,seed,0.72,0.76
шоколадница раф,раф шоколадница,300,7,15,34,300,☕,Сливки и сироп делают напиток калорийным.,seed,0.72,0.76
шоколадница медовик,медовик шоколадница|торт медовик,430,6,24,48,120,🍰,Кусок торта лучше считать по весу.,seed,0.72,0.76
кофе американо,американо|черный кофе,5,0,0,1,250,☕,Без сахара и молока почти не дает калорий.,seed,0.86,0.88
какао на молоке,какао|горячий шоколад легкий,220,8,7,34,300,☕,Сахар сильно меняет итог.,seed,0.78,0.82
ореховая паста,арахисовая паста|peanut butter,590,25,50,20,100,🥜,Одна ложка около 15-20 г.,seed,0.82,0.84
хумус,humus|нутовая паста,240,8,16,18,100,🧆,Масло и тахини дают жиры.,seed,0.78,0.82
фалафель,falafel|шарики фалафель,330,13,18,32,100,🧆,Жарка повышает калорийность.,seed,0.76,0.8
шаурма говяжья,шаверма говядина|донер говяжий,250,13,13,23,100,🌯,Соус и размер порции сильно влияют на итог.,seed,0.76,0.8
шаурма сырная,сырная шаурма|шаверма сырная,260,12,14,24,100,🌯,Сырный соус повышает жиры.,seed,0.76,0.8
гирос с курицей,гирос куриный|gyros chicken,230,12,11,24,100,🌯,Соусы и картофель внутри меняют итог.,seed,0.74,0.78
тако с говядиной,тако говядина|beef taco,220,11,12,18,100,🌮,Ориентир на 100 г.,seed,0.74,0.78
буррито с курицей,буррито курица|chicken burrito,210,11,8,25,100,🌯,Рис и соус дают основную калорийность.,seed,0.74,0.78
кесадилья с курицей,кесадилья курица|chicken quesadilla,260,14,14,22,100,🌮,Сыр повышает жиры.,seed,0.74,0.78
салат поке с тунцом,поке тунец|poke tuna,160,12,5,16,100,🍣,Соус и авокадо учитывай отдельно.,seed,0.74,0.78
ролл с огурцом,каппа маки|ролл огурец,115,3,1,24,100,🍣,Легкий ролл без майонеза.,seed,0.76,0.8
ролл с лососем,сяке маки|ролл лосось,160,7,4,24,100,🍣,Ориентир на 100 г.,seed,0.76,0.8
ролл с угрем,унаги маки|ролл угорь,220,8,8,28,100,🍣,Соус унаги добавляет сахар.,seed,0.74,0.78
том кха,суп том кха|tom kha,110,6,8,6,100,🍲,Кокосовое молоко дает жиры.,seed,0.74,0.78
пад тай с курицей,пад тай курица|pad thai chicken,190,10,7,24,100,🍜,Соус и арахис добавляют калории.,seed,0.74,0.78
кимчи,капуста кимчи|kimchi,25,2,0.5,4,100,🥬,Острая закуска почти без калорий.,seed,0.78,0.82
битые огурцы,китайские битые огурцы,65,1,4,6,100,🥒,Масло и сахар в соусе меняют итог.,seed,0.74,0.78
гречка с грибами,греча с грибами|гречневая каша с грибами,125,4,4,20,100,🥣,Масло учитывай отдельно если его много.,seed,0.78,0.82
рис с овощами,рис овощи|овощной рис,140,3,4,24,100,🍚,Масло и соус могут менять итог.,seed,0.78,0.82
картофельная запеканка,запеканка картофельная,165,6,8,18,100,🥔,Сыр и фарш повышают калории.,seed,0.76,0.8
творожная запеканка,запеканка творожная,190,14,8,16,100,🍰,Сахар и сметану учитывай отдельно.,seed,0.78,0.82
омлет с сыром,сырный омлет,220,15,17,2,130,🍳,Масло для жарки учитывай отдельно.,seed,0.78,0.82
яичница из двух яиц,яичница 2 яйца|глазунья,190,13,15,1,110,🍳,Масло может добавить 40-90 ккал.,seed,0.8,0.84
скрэмбл,яичница болтунья|scramble eggs,210,14,16,2,130,🍳,Молоко и масло меняют итог.,seed,0.76,0.8
овсяноблин,овсяный блин,180,10,7,20,120,🥞,Начинку учитывай отдельно.,seed,0.76,0.8
гранола,granola|мюсли запеченные,450,10,15,65,100,🥣,Порция обычно 30-50 г.,seed,0.78,0.82
мюсли,мюсли сухие,360,9,6,65,100,🥣,Молоко или йогурт считай отдельно.,seed,0.78,0.82
кукурузные хлопья,хлопья кукурузные|corn flakes,370,7,1,83,100,🥣,Молоко и сахар добавляй отдельно.,seed,0.78,0.82
манная каша на молоке,манка на молоке|манная каша,110,3.5,3.5,16,100,🥣,Сахар и масло учитывай отдельно.,seed,0.78,0.82
рисовая каша на молоке,рисовая каша,115,3,3,19,100,🥣,Сладость зависит от рецепта.,seed,0.78,0.82
пшенная каша на молоке,пшенка на молоке|пшенная каша,120,4,4,18,100,🥣,Масло и сахар учитывай отдельно.,seed,0.78,0.82
гороховая каша,гороховое пюре,118,8,1,20,100,🥣,Сытная крупяная база без масла.,seed,0.78,0.82
нут вареный,нут|chickpeas,164,9,3,27,100,🧆,Указано для готового вареного нута.,seed,0.82,0.84
фасоль вареная,фасоль|beans boiled,127,9,0.5,23,100,🫘,Указано для готовой фасоли.,seed,0.82,0.84
чечевица вареная,чечевица|lentils boiled,116,9,0.4,20,100,🥣,Хороший растительный белок.,seed,0.82,0.84
тофу,соевый сыр|tofu,120,12,7,2,100,⬜,КБЖУ зависит от плотности тофу.,seed,0.78,0.82
сейтан,seitan|пшеничный белок,150,25,2,6,100,🍽️,Белковый продукт для вегетарианского рациона.,seed,0.74,0.78
котлета рыбная,рыбная котлета,190,13,10,12,100,🐟,Панировка и масло меняют итог.,seed,0.76,0.8
рыбные палочки,fish sticks|палочки рыбные,250,12,13,22,100,🐟,Соус учитывай отдельно.,seed,0.76,0.8
крабовые палочки,сурими|краб палочки,95,6,1,15,100,🦀,Удобно считать по весу пачки.,seed,0.8,0.84
икра красная,красная икра,250,31,13,1,100,🐟,Порция обычно 10-20 г.,seed,0.78,0.82
сельдь соленая,селедка|соленая сельдь,217,19,15,0,100,🐟,Масло и хлеб учитывай отдельно.,seed,0.8,0.84
скумбрия копченая,копченая скумбрия,320,20,26,0,100,🐟,Жирная рыба с высокой калорийностью.,seed,0.78,0.82
шпроты,шпроты в масле,360,17,32,0,100,🐟,Масло сильно повышает калории.,seed,0.78,0.82
консервы сайра,сайра консервированная,250,18,20,0,100,🐟,Для масла калории выше чем в собственном соку.,seed,0.76,0.8
печень куриная,куриная печень,137,20,6,1,100,🍗,Жарка и соус меняют итог.,seed,0.78,0.82
печень говяжья,говяжья печень,135,20,4,4,100,🥩,Питательный белковый продукт.,seed,0.78,0.82
сердечки куриные,куриные сердечки,185,16,13,1,100,🍗,Соус и масло учитывай отдельно.,seed,0.76,0.8
желудки куриные,куриные желудки,130,21,5,0,100,🍗,Обычно считаются после готовки.,seed,0.76,0.8
купаты,колбаски купаты,300,14,26,2,100,🌭,Жирность зависит от производителя.,seed,0.76,0.8
охотничьи колбаски,колбаски охотничьи,430,18,38,2,100,🌭,Очень калорийны на маленький вес.,seed,0.76,0.8
салями,колбаса салями,470,22,42,2,100,🥓,Порция обычно 20-40 г.,seed,0.78,0.82
паштет печеночный,печеночный паштет,300,11,27,4,100,🥫,Хлеб считай отдельно.,seed,0.76,0.8
лаваш с сыром,сырный лаваш|лаваш жареный с сыром,280,12,14,28,100,🫓,Масло при жарке добавляет калории.,seed,0.76,0.8
бутерброд с колбасой,сэндвич с колбасой,260,10,13,25,100,🥪,Майонез и масло учитывай отдельно.,seed,0.76,0.8
бутерброд с красной рыбой,сэндвич с лососем,230,12,11,21,100,🥪,Сливочный сыр повышает жиры.,seed,0.76,0.8
канапе с сыром,сырное канапе,300,13,20,20,100,🧀,Ориентир для закусок на фуршете.,seed,0.72,0.76
салат капрезе,капрезе|caprese,180,9,14,4,100,🥗,Моцарелла и масло дают основную калорийность.,seed,0.76,0.8
салат нисуаз,нисуаз|nicoise,150,10,9,7,100,🥗,Масло и тунец меняют итог.,seed,0.74,0.78
салат табуле,табуле|tabbouleh,120,3,5,16,100,🥗,Масло влияет на итоговую калорийность.,seed,0.74,0.78
салат чука,чука|водоросли чука,90,2,4,10,100,🥗,Ореховый соус считай отдельно.,seed,0.76,0.8
салат коул слоу,коул слоу|coleslaw,150,2,10,13,100,🥗,Майонезный соус добавляет жиры.,seed,0.76,0.8
соус терияки,терияки соус,40,1,0,9,25,🥫,Сладкий соус добавляет углеводы.,seed,0.78,0.82
соус кисло сладкий,кисло-сладкий соус,50,0,0,12,25,🥫,Обычно много сахара.,seed,0.76,0.8
соус цезарь,цезарь соус,120,1,12,2,25,🥫,Небольшая порция заметно добавляет жиры.,seed,0.76,0.8
соус песто,песто,160,3,16,3,25,🥫,Масло и орехи дают высокую калорийность.,seed,0.78,0.82
соевый соус,соус соевый,13,1,0,2,25,🥫,Калорий мало но соли много.,seed,0.82,0.84
сгущенное молоко,сгущенка|молоко сгущенное,320,7,8,56,100,🥛,Одна ложка около 20 г.,seed,0.82,0.84
варенье,джем|варенье ягодное,260,0,0,65,100,🍓,Почти полностью сахар.,seed,0.8,0.84
печенье юбилейное,юбилейное печенье|сахарное печенье,430,7,13,72,100,🍪,Порция быстро набирается незаметно.,seed,0.78,0.82
пряник,пряники,350,5,4,75,100,🍪,Одна штука часто 30-50 г.,seed,0.78,0.82
маршмеллоу,marshmallow|зефирки,330,2,0,80,100,🍬,Почти полностью сахар.,seed,0.76,0.8
вкусно и точка омлет с ветчиной,омлет ветчина вкусно и точка|завтрак омлет ветчина,285,19,20,6,150,🍳,Завтраки и сезонное меню могут отличаться по ресторану.,seed,0.72,0.76
вкусно и точка маффин с яйцом и беконом,макмаффин бекон|маффин яйцо бекон,430,22,25,32,165,🥪,Ориентир на один завтрак без напитка.,seed,0.72,0.76
вкусно и точка маффин с яйцом и свининой,макмаффин свинина|маффин яйцо свинина,500,25,31,33,180,🥪,Ориентир на одну порцию.,seed,0.72,0.76
вкусно и точка картофельный оладушек,хашбраун вкусно и точка|картофельный оладушек,145,1.5,8,17,55,🥔,Жареный завтрак с высокой плотностью калорий.,seed,0.74,0.78
вкусно и точка сырники,сырники вкусно и точка,350,18,16,34,150,🥞,Соус или сметану учитывай отдельно.,seed,0.74,0.78
вкусно и точка блинчики,блинчики вкусно и точка,310,9,12,42,150,🥞,Начинка меняет итоговую калорийность.,seed,0.72,0.76
вкусно и точка салат цезарь,цезарь вкусно и точка|салат с курицей вкусно и точка,230,17,14,10,180,🥗,Соус лучше считать отдельно если он в пакете.,seed,0.72,0.76
вкусно и точка соус барбекю,барбекю вкусно и точка,48,0,0,12,25,🥫,Сладкий соус добавляет углеводы.,seed,0.76,0.8
вкусно и точка соус кисло сладкий,кисло сладкий вкусно и точка,50,0,0,12,25,🥫,Один соус заметен в дневнике из-за сахара.,seed,0.76,0.8
вкусно и точка соус горчичный,горчичный соус вкусно и точка,65,1,4,6,25,🥫,Порционный соус считай отдельно.,seed,0.74,0.78
вкусно и точка кока кола,кола вкусно и точка|добрый кола вкусно и точка,210,0,0,53,500,🥤,Размер стакана сильно влияет на итог.,seed,0.76,0.8
вкусно и точка апельсиновый сок,сок апельсиновый вкусно и точка,150,1,0,33,300,🧃,Ориентир на средний стакан.,seed,0.76,0.8
ростикс лонгер оригинальный,лонгер ростикс|kfc лонгер,296,12.9,13,31.9,117,🍔,Ориентир на один лонгер.,seed,0.78,0.82
ростикс лонгер острый,острый лонгер ростикс|kfc острый лонгер,249,12.3,6.4,35.3,113,🍔,Ориентир на одну порцию.,seed,0.78,0.82
ростикс мини твистер,мини твистер ростикс|kfc mini twister,255,9.9,10.9,29.2,104,🌯,Удобная маленькая порция.,seed,0.76,0.8
